Go.	가.
Tom is trying to avoid drinks with sugar.	톰은 설탕있는 음료수를 피하려고 한다.
Tom knows the police are looking for him.	톰은 경찰이 자기를 찾고 있다는 걸 알아.
Tom learned to dive when he was thirteen.	톰은 열 세살일 때 잠수하는 법을 배웠어.
Tom wakes up at six-thirty every morning.	톰은 아침마다 여섯 시 삼십 분에 일어나.
Tom was supposed to be here before lunch.	톰은 점심 전에 여기 있기로 되어 있었어.
Tom's camera was just where he'd left it.	톰의 카메라는 그가 놔둔 바로 그곳에 있었다.
Tom's only been a widower for six months.	톰은 홀로 된지 6개월밖에 지나지 않았다.
We graduate from high school at eighteen.	우리는 18살에 고등학교를 졸업합니다.
We graduate from high school at eighteen.	우리는 18살에 고등학교를 졸업해.
When was the last time you went canoeing?	가장 최근에 카누를 탄 적이 언제야?
Where did you spend your summer vacation?	여름방학을 어디서 보냈어?
Where did you spend your summer vacation?	여름방학을 어디서 보내셨어요?
Would you mind answering a few questions?	몇 가지 질문에 답할 의향 있어?
You've got something stuck in your teeth.	이빨에 뭔가 끼어있어.
Could you loan me some money until payday?	월급날까지 나한테 돈 좀 빌려줄 수 있어?
Do you have a lot of friends in Australia?	호주에 친구들이 많니?
Have you met any Canadians here in Boston?	여기 보스턴에서 캐나다 사람을 만난 적이 있나요?
How do you calculate the volume of a cube?	정육면체의 부피를 어떻게 계산합니까?
How often did you go swimming last summer?	작년 여름에 몇 번이나 수영을 하러 갔었습니까?
I asked Tom why he wanted to study French.	나는 톰에게 왜 프랑스어를 배우고자했는지 물어봤다.
I couldn't get the cork out of the bottle.	병에서 코르크를 뺄 수 없었어.
I don't think that Tom will be doing that.	톰이 저걸 하고 있을 것 같진 않은데.
I doubt Tom can do that without some help.	톰이 도움 없이 그걸 잘 해낼 수 있을지 모르겠다.
I go to Boston three or four times a year.	나는 일년에 서너번 보스톤에 간다.
I hope we don't have to wait for too long.	많이 안 기다려도 되면 좋겠다
I never should've borrowed money from Tom.	난 톰한테 돈을 절대 빌리지 말았어야 했는데.
I thought that you were smarter than that.	난 네가 이것보단 똑똑할 줄 알았지.
I'm good at many sports, but I can't swim.	나는 많은 운동은 잘 하지만 수영은 못한다.
I'm looking forward to traveling with Tom.	나는 톰과 같이 여행하기를 기대하고 있다.
It's not as hot today as it was yesterday.	오늘은 어제처럼 그렇게 덥지는 않네.
Now we have one less thing to worry about.	이제 우리는 걱정 거리가 하나 줄었다.
She is more beautiful than any other girl.	그녀는 누구보다도 아름다워요.
The government tends to control the media.	정부는 매체를 조종하는 경향이 있다.
The question is whether he can be trusted.	문제는 그 사람이 신용할 만한 사람인지야.
The teacher scolded his students severely.	선생님은 학생들을 심하게 꾸짖었다.
There is no bus service after nine-thirty.	9시 반 이후엔 버스가 다니지 않아요.
Tom didn't know Mary was going to be late.	톰은 메리가 늦을 줄 몰랐다
Tom didn't know who was going to be there.	톰은 누가 거기에 있을 건지 몰랐어.
Tom doesn't drink alcoholic drinks at all.	톰은 알코올이라면 전혀 입에 대지 않아.
Tom has decided to go skiing next weekend.	톰은 다음주에 스키타러 가기로 결심했다더라.
Tom is living alone in a hut on the beach.	톰은 해변에 있는 오두박에서 혼자 살아.
Tom isn't likely to pass the driving test.	톰은 운전면허 시험에 떨어질 듯 하다.
Tom looks quite sophisticated for his age.	톰은 나이에 비해 꽤 고상해 보여.
Tom may be faster at doing that than Mary.	그것을 하는데 톰은 메리보다 더 빠를지도 모른다.
Tom met a friend of Mary's at the airport.	톰은 메리의 친구를 공항에서 만났다.
Tom roasted the marshmallow over the fire.	톰은 마시멜로를 불에 구웠다.
Tom roasted the marshmallow over the fire.	톰이 마시멜로를 불에 구웠어.
Tom should be here within fifteen minutes.	톰은 십오분 안에 여기에 있어야 해.
Was your elementary school a large school?	네가 다니던 초등학교는 큰 학교야?
We don't know whether Tom can come or not.	우리는 톰이 올수 있을지 없을지 모릅니다.
What would you do if that happened to you?	그런 일이 생긴다면 어쩔 거야?
Which are heavier, sandwiches or onigiris?	샌드위치랑 주먹밥 중에 어느 것이 더 부담스러워?
You haven't ever been to Boston, have you?	너 보스턴에 가본 적 없지?
After that English exam, my brain is fried.	영어 시험을 봤더니 내 뇌가 굳었어.
By the way, have you ever been to Hokkaido?	그나저나, 너 홋카이도에 가본 적 있어?
Have you ever seen Tom not wearing glasses?	톰이 안경 벗은 거 본 적 있어?
He does not even know how to sign his name.	그 사람은 자기 이름을 싸인하는 법조차 몰라.
I could write Tom a note if you want me to.	네가 원한다면 톰에게 쪽지를 써줄 수 있어.
I didn't know Tom was a child psychologist.	톰이 아동 심리학자였다는 것을 난 몰랐어.
I don't know where Tom will live next year.	난 톰이 내년에 어디에 살 것인지는 모르겠어.
I don't want to go to Tom's birthday party.	나는 톰의 생일 파티에 가고 싶지 않아.
I have some strawberries. Do you want some?	딸기가 있는데 너 먹고 싶니?
I have to take my medicine every six hours.	나는 약을 여섯 시간마다 먹어야 해.
I suspect that Tom doesn't want to do that.	내 생각엔 톰이 저걸 하고 싶어하지 않는 것 같아.
I think that Tom is a dangerous psychopath.	톰은 위험한 싸이코패스같아.
I'm actually very interested in doing that.	난 사실 그걸 하는 것에 관심이 많아.
I'm having a hard time with German grammar.	독일어 문법에 어려움을 겪는 중이야.
I'm not very interested in learning French.	프랑스어 배우는 것은 그다지 관심 없어.
If you're going to smoke, smoke over there.	담배를 피울 거면, 저리 가서 피워.
Is there anything that you want to tell me?	뭔가 하고 싶은 얘기 없어?
My daughter is still under three years old.	내 딸은 아직 3 살 아래야.
Physics is more difficult than mathematics.	물리는 수학보다 훨씬 더 어려워.
The fact that Tom did that can't be denied.	톰이 그걸 했다는 사실은 부인할 수 없는 사실이야.
The footprints continued down to the river.	발자국은 강까지 이어졌다.
There is nothing you have to be ashamed of.	부끄러워 할 거 없어요.
This computer has a Pentium microprocessor.	이 컴퓨터는 펜티엄 마이크로프로세서를 탑재했어.
This grocery store only sells organic food.	이 슈퍼마켓에선 오직 유기농 음식만 팔아.
This is a complete distortion of the facts.	이건 사실에 대한 완전한 왜곡이야.
Thousands of people died during the plague.	전염병 유행중에 수천명의 사람들이 죽었어.
To tell the truth, he is not a human being.	진실을 말하자면, 그는 인간이 아냐.
Tom came to Australia hoping to find a job.	톰은 취업하기를 기원하면서 호주에 왔어.
Tom divided the pie into three equal parts.	톰은 파이를 삼등분으로 나눴다.
Tom divided the pie into three equal parts.	톰이 파이를 삼등분으로 나눴어.
Tom doesn't want to do that, but he has to.	톰은 어쩔 수 없이 그걸 해야 해.
Tom has some experience in teaching French.	톰은 프랑스어를 가르친 경험이 있어.
Tom liked to listen to Mary play the piano.	톰은 메리가 피아노 치는 것을 듣는 것을 좋아했다.
Tom looked around and realized he was lost.	톰은 주위를 둘러보고 길을 잃었음을 알아차렸다.
Tom said that what you told me wasn't true.	톰은 네가 나에게 말한것은 사실이 아니라고 말했다.
Tom studies harder than anyone else I know.	톰은 내가 알고 있는 그 누구보다 공부를 열심히 해.
Tom told me where I could buy pomegranates.	톰이 어디서 석류를 살 수 있는지 말해 주었다.
Tom was diagnosed with Asperger's syndrome.	톰은 아스퍼거 증후군이라고 진단받았어.
We need to learn to live with what we have.	우리는 우리가 가진것을 가지고 사는 법을 배울 필요가 있다.
We used the computer in order to save time.	우린 시간을 아끼기 위해서 컴퓨터를 썼어.
We're collecting blankets for the homeless.	우린 노숙자들을 위해 담요를 모으고 있어.
When are you going to ask her to marry you?	너 언제 그 사람과 결혼하자고 할 거야?
Who's the most intelligent person you know?	네가 아는 사람 중에서 누가 가장 머리가 좋은 사람이야?
Who's the most intelligent person you know?	네가 아는 사람 중에서 누가 가장 똑똑한 사람이야?
Allow me to demonstrate my invention to you.	내 발명품 시연하게 해주라.
Antibodies fight off infections and viruses.	항체는 감염과 바이러스를 퇴치해.
Are you blaming me for your lack of success?	네가 성공을 못 하는 것을 내 탓으로 돌리는 거니?
Does anybody here know how this thing works?	이걸 어떻게 하는지 아는 사람?
Genes consist of a specific sequence of DNA.	유전자는 DNA 특유의 배열로 구성되어 있어.
He has a deep insight into human psychology.	그 사람은 인간 심리에 높은 식견이 있어.
He often attributes his success to his wife.	그는 종종 그의 성공을 그의 아내의 공으로 돌리곤 한다
Help yourself to anything you'd like to eat.	먹고 싶은 것들 마음껏 먹어.
How many eggs are there in the refrigerator?	냉장고에 계란 얼마나 있어?
I can assure you that's not going to happen.	단언컨대, 그런 일은 일어나지 않을 거야.
I didn't know that Tom was a cocaine addict.	톰이 코카인 중독자였다니 몰랐어.
I didn't know that you used to teach French.	나는 네가 프랑스어를 가르쳤는지 몰랐어
I have to take the entrance exams next year.	나 내년에 입학시험을 봐야 돼.
I knew it would be impossible for me to win.	내가 이기기 불가능할 거라는 건 알고 있었어.
I know that Tom is a very good chess player.	나는 톰이 체스를 아주 잘 둔다는 것을 알고 있어.
I know that Tom knows that I should do that.	나는 톰이 내가 그렇게 해야한다는 것을 안다는 것을 안다.
I spent two hours reading a book last night.	나는 어젯밤에 책을 읽느라 두 시간을 보냈어.
I'm thinking about going back into teaching.	교직에 돌아갈 생각을 하고 있다.
If there's a way out of here, we'll find it.	여기서 나갈 방법이 있다면 우리는 찾을 수 있을거야
Is there something that you want to tell me?	뭔가 할 말이 있니?
Is there something that you wish to tell me?	뭔가 할 말이 있니?
Is there something that you wish to tell me?	저한테 하실 말씀이 있으신가요?
It's getting dark. Please turn on the light.	어두워지고 있어. 불 켜줘.
It's not as easy to do that as people think.	사람들이 생각하는 것 만큼 쉽지는 않아요.
Muscles are made of hundreds of thin fibers.	근육은 수백 개의 얇은 섬유로 만들어져 있어.
No other language is as beautiful as French.	프랑스어만큼 아름다운 언어는 없어.
Not knowing what to say, he remained silent.	무슨 말을 할지 모르는 채, 그는 침묵을 지키고 있었다.
People who ignore history tend to repeat it.	역사를 무시하는 사람들은 역사를 되풀이하게 된다.
Please drop in at my house on your way home.	귀가하실 때 저희 집에 들러 주세요.
Shut up. If you don't, you'll be thrown out.	닥쳐. 안그러면 쫓아낼거야.
Some people believe in God and others don't.	신을 믿는 사람들도 있고 아닌 사람도 있어.
Tom and Mary live in a very small apartment.	톰과 메리는 매우 작은 아파트에 살고 있어요.
Tom doesn't eat any fish except canned tuna.	톰은 참치통조림 이외의 생선류는 절대 먹지 않아.
Tom is looking for a way to make some money.	톰은 돈을 벌 방법을 찾고 있다.
Tom is planting a palm tree in his backyard.	톰이 뒷마당에 야자 나무를 심고 있다.
Tom is so irresponsible. I can't believe it.	톰은 정말 무책임하다. 믿기지 않을 정도로.
Tom learned how to read and write at school.	톰은 학교에서 읽고 쓰는 법을 배웠어.
Tom told his friends that he never ate meat.	톰은 친구들에게 고기를 먹은 적이 한 번도 없다고 했다.
Tom went to Korea as a Christian missionary.	톰은 선교사로서 한국에 갔다.
Tom won't leave until he gets what he wants.	톰은 원하는 걸 얻을 때까지는 떠나지 않을 거야.
Tom's birthday was the day before yesterday.	톰의 생일은 그저께였다.
What in the world do you think you're doing?	세상에 네가 뭘 하고 있다고 생각하는 거니?
What language do they speak in your country?	네 나라에서는 무슨 언어로 말해?
What makes you think Tom will listen to you?	왜 톰이 너의 말을 들을거라고 생각하니?
What's your favorite image editing software?	어떤 것이 네가 가장 좋아하는 사진 편집 소프트웨어야?
You should've asked Tom before you did that.	네가 그걸 하기 전에 톰한테 물어봤어야지.
Are there any girls here you haven't yet met?	네가 아직 만난 적 없는 여자애들도 여기 있어?
Are you saying you don't know how to do this?	이걸 어떻게 하는지 모른다고 말하는 거야?
Certain religions are against organ donation.	어떤 종교는 장기 기증을 금지하기도 해.
Don't add sentences from copyrighted sources.	저작권이 있는 출처의 문장을 추가하지 마십시오.
Don't sign the document until you've read it.	서류를 읽기 전에는 사인하지 마세요
Don't waste your time trying to convince Tom.	톰을 설득하려고 시간을 낭비하지마.
How about stopping the car and taking a rest?	차를 멈추게하고 쉬는게 어때?
I believe that the answer is straightforward.	대답이 직접적인 것 같아.
I believe that the answer is straightforward.	대답이 직설적인 것 같아.
I don't play the piano as often as I used to.	나는 피아노를 예전만큼 자주는 안 쳐.
I don't think that Tom knows why it happened.	그 일이 일어난 이유를 톰이 알고 있다고는 생각하지 않아.
I had the same thing happen to me last month.	지난달에 이와 똑같은 일이 일어났는데.
I haven't been getting a lot of sleep lately.	나는 요즘 잠을 많이 못잤어요.
I knew that Tom didn't want to do that again.	난 톰이 저걸 다시는 하기 싫어한다는 걸 알고 있었어.
I look forward to seeing you again very soon.	널 곧 다시 만나길 고대하고 있어.
I think that Tom's French has improved a lot.	톰의 프랑스 실력이 많이 오른 것 같아.
I want Tom to understand why he has to leave.	톰이 자신이 왜 떠나야 하는지를 이해했으면 좋겠어.
I wish that I could go to the party with you.	너랑 같이 파티 갔으면 좋았을텐데
I'm looking for a hat to match a brown dress.	갈색 드레스와 어울리는 모자를 찾고 있어요.
I'm trying to tell you what needs to be done.	나는 네게 해야 할 일을 알려 주려고 하고 있어.
I've read your book. It was very interesting.	당신 책을 읽어봤었어요. 꽤 흥미롭더라구요.
Is it true that you're a high school teacher?	네가 고등학교 선생님이라는 게 사실이야?
Is it true that you're a high school teacher?	네가 고등학교 선생님이라는 게 사실이니?
Is there anything that you'd like to tell me?	뭔가 하고 싶은 얘기 없어?
The real issue is how to prevent the disease.	진짜 문제는 어떻게 질병을 막는지야.
Things are the same, but people have changed.	상황은 같지만 사람들은 바뀌었다.
This happened prior to receiving your letter.	그건 네 편지를 받기 전에 일어났어.
This year, Valentine's Day falls on a Sunday.	올해는 발렌타인 데이가 일요일이다.
Tom and his friends are swimming in the pool.	톰과 친구는 수영장에서 수영하고 있어.
Tom didn't tell Mary why he had to work late.	톰은 메리에게 왜 그가 늦게까지 일해야 했는지 알려주지 않았다.
Tom doesn't speak French, but his parents do.	톰은 부모님과는 달리 프랑스어를 할 줄 몰라.
Tom had difficulty concentrating on his work.	톰이 일에 집중하는 데 어려움을 겪더라.
Tom had difficulty concentrating on his work.	톰은 일에 집중하는 데 어려움을 겪었다.
Tom has spent the past three years in prison.	톰은 과거 삼 년동안 감옥에 있었어.
Tom is an adult, but he doesn't act like one.	톰은 어른이면서도 어른답게 행동을 안 해.
Tom is spending more and more time in Boston.	톰은 점점 많은 시간을 보스턴에서 보내고 있어.
Tom is studying to become a marine biologist.	탐은 해양 생물학자가 되기 위해 공부하고 있다.
Tom said Mary has been to Boston three times.	메리가 보스턴에 세 번이나 갔다고 톰이 말하더라.
Tom was diagnosed with ASD when he was three.	톰은 세 살 때 자폐 범주형 장애로 진단받았다.
Tom would be very surprised if Mary did that.	메리가 그걸 한다면 톰이 아주 놀라겠는걸.
Upon hearing the news, she broke down crying.	그녀는 그 소식을 듣자마자 울음을 터뜨렸다.
Upon hearing the news, she broke down crying.	그녀는 그 소식을 듣자마자, 울음을 터뜨렸습니다.
We have no evidence that such a virus exists.	우리에겐 그런 종류의 바이러스가 존재하는지 증거가 없어.
We study the past for the sake of the future.	우리는 미래를 위해 과거를 공부해.
What do you mean they are killing each other?	그들이 서로 죽이고 있다는 게 무슨 말이야?
Why did you tell Tom that we're just friends?	왜 톰한테 우리가 단지 친구 사이라고 말했어?
You can't force yourself to forget something.	기억을 억지로 잊게 할 수는 없어.
You haven't ever been to Australia, have you?	너 한번도 호주에 안 가봤지?
Are you really thinking about getting married?	너 정말로 결혼생각이 있어?
Can you tell me more about the person you saw?	네가 본 사람에 대해 더 말해줄래?
Do you really think Tom will let you help him?	너 정말 톰이 너한테 도움받도록 내버려 둘 것 같아?
Have you ever thought about quitting your job?	사직할 것을 생각해 본 적이 있나요?
Have you studied Darwin's theory of evolution?	다윈의 진화이론을 공부해본 적 있어?
How long would it take you to paint my garage?	네가 내 차고를 페인트 해주는데 얼마나 걸릴 것 같아?
I don't think that Tom has to do that anymore.	톰이 더이상 그것을 하지않아도 될것 같아.
I know that I might not have to do that today.	그것을 오늘 안해도 될것같다는 걸 알아
I ordered five books on economics from London.	나는 경제학 책을 다섯권 런던에 주문했다.
I think French is the most beautiful language.	프랑스어는 가장 아름다운 언어인 것 같아.
I want to be a leader that people can respect.	난 사람들이 존경할 수 있는 지도자가 되고 싶어.
Is it true you've never had a serious illness?	네가 중병에 걸린 적이 없다는 게 사실이야?
Is there anything more romantic than a picnic?	소풍하는 것보다 더 로맨틱한 것이 있긴 해?
It is difficult to convey the meaning exactly.	의미를 정확하게 전달하는 것은 어렵다.
Learning a musical instrument trains the mind.	악기를 배우는 건 정신을 훈련시킬 수 있어.
Mary found a long blonde hair on Tom's jacket.	메리는 톰의 자켓에서 긴 금발 머리카락 한올을 발견했다.
My favorite city in the whole world is Boston.	내가 세상에서 가장 좋아하는 도시는 보스턴이야.
No matter what I do, she says I can do better.	내가 무엇을 하든지 간에 내가 더 잘한다고 말하더라.
Of course you have to pay. What did you think?	당연히 돈을 내야한다. 어떻게 생각했니?
Science is based on very careful observations.	과학은 아주 주의깊은 관찰을 토대로 해.
The more books you read, the more you'll know.	네가 책을 많이 읽을수록, 더 많은 걸 알게 될 거야.
The painting will cost at least 1,000 dollars.	그 미술작품은 적어도 1,000 달러는 될 거야.
There are things that can't be left to chance.	운에 맡길 수 없는 것들이 있다.
Tom doesn't have to go to Australia next week.	톰은 다음 주 호주에 가지 않아도 돼.
Tom doesn't have to go to Australia next week.	톰은 다음 주 호주에 안 가도 돼.
Tom is married to a Canadian woman named Mary.	톰은 메리라는 캐나다 여성과 결혼했어.
Tom is married to a Canadian woman named Mary.	톰은 메리라는 캐나다 여성이랑 결혼했어.
Tom is still not very good at swimming, is he?	톰은 여전히 수영을 잘 못하지?
Tom lives in a small apartment on Park Street.	톰은 파크 스트리트의 작은 아파트에서 살고 있다.
Tom put the presents under the Christmas tree.	톰이 크리스마스 트리 아래에 선물을 놓았어.
Tom withdrew some money from his bank account.	톰은 자기 은행 계좌에서 돈을 좀 빼갔어.
Tom wondered why there was a dog in his house.	톰은 왜 자기 집에 개가 있었는지 알고 싶었다.
Try to see the problem from her point of view.	그 사람의 관점으로 문제를 보려고 노력하자.
Who's the person who was just speaking to you?	너한테 막 말 걸던 사람 누구야?
Why does everybody think Tom and I are stupid?	왜 다들 나랑 톰이 멍청하다고 생각해?
You haven't told Tom you're married, have you?	너 결혼한거 톰한테 말 안했구나, 그치?
You look tired, so you should go to bed early.	피곤해 보이니까 일찍 자는 것이 좋겠다.
"How many boys do you have?" "I only have one."	"형제가 몇 명이나 있어?" "한 명 있어."
A permanent job is better than a temporary one.	정규직이 임시직보다 나아.
Every house on our street was blue except ours.	우리 집을 제외하고는 우리 집이 있는 거리의 모든 집들이 모두 파란색이다.
I hope that we don't have to wait for too long.	많이 안 기다려도 되면 좋겠다
I wish I could remember everything Tom told me.	난 톰이 나한테 말한 모든 것을 기억했으면 좋겠어.
Is it really possible to do a brain transplant?	뇌를 이식하는 게 정말로 가능해?
It requires more courage to suffer than to die.	죽는 일보다 고통 받는 일이 더 많은 용기를 필요로 한다.
Studying when you're sleepy is a waste of time.	졸릴 때 공부하는 건 시간 낭비야.
The Mona Lisa was painted by Leonardo da Vinci.	모나리자는 레오나르도 다빈치가 그렸어.
The human mind is good at recognizing patterns.	인간의 마음은 패턴을 인식하는 것을 잘해.
The material is light enough to float in water.	이 물질은 물에 뜰 정도로 가벼워.
Tom currently lives alone in a small apartment.	탐은 현재 작은 아파트에서 혼자 살고 있다.
Tom has a distinctive scar under his right eye.	톰은 오른쪽 눈밑에 독특한 상처가 있다.
Tom is going to stay there as long as possible.	톰은 가능한 한 거기에 남아 있을 거야.
Tom wants to know if you have any time to help.	네가 도와줄 수 있는 시간이 있는지 톰이 궁금해하던데.
Tom was at the pub with his friends last night.	톰은 어젯밤에 친구랑 술집에 있었어.
Would you let me drive your car if you had one?	너 만약 자동차 하나 있으면 내가 네 걸 운전하게 해줄래?
You can't imagine how difficult it was for Tom.	이게 얼마나 톰에게 어려웠는지 상상도 못 할 걸?
You need good equipment to climb that mountain.	저 산에 오르려면 좋은 장비가 있어야 돼.
Are there any students from Korea in your class?	너의 반에 한국에서 온 학생이 있니?
Do you want to know where you made your mistake?	네가 어디서 실수 했는지 알고싶어?
Have you heard of a bird called the Arctic Tern?	극제비갈매기라는 새를 들어 본 적 있습니까?
I don't think Tom wants to be my friend anymore.	나는 더 이상 톰이 내 친구가 되고 싶어한다고 생각하지 않아.
If you do that, you're going to look ridiculous.	네가 그걸 한다면 넌 우습게 보일 거야.
No other lake in Japan is as large as Lake Biwa.	비와라는 호수만큼 큰 호수은 일본에 없어.
Perhaps Tom is too old to do this kind of thing.	아마 탐은 이런 일을 하기에는 나이가 많다
The venom of most spiders is harmless to humans.	대부분의 거미에 있는 독은 인간에게 무해해.
This book is way more interesting than that one.	이 책이 저거보다 훨씬 흥미롭다.
Tom has been battling depression for many years.	톰은 수년 간 우울증과 싸우고 있어.
Tom learned how to do that from his grandfather.	톰은 이걸 어떻게 하는지를 자기 할아버지한테서 배웠어.
Tom says he doesn't think Mary ought to do that.	톰은 마리가 그것을 해야만 한다고 생각하지 않는다고 말했다.
Tom told Mary he wouldn't let her go by herself.	톰은 메리에게 그는 그녀를 혼자 가게 하지는 않겠다고 말했다.
We're moving to Boston at the end of this month.	우리는 이달 말에 보스턴으로 이사를 합니다.
You are not a good person. You know that, right?	넌 그다지 좋은 사람이 아냐. 너도 그건 알고 있지?
You'd better tell me if you did something wrong.	만약에 네가 나쁜 짓을 했다면 알려주는게 좋을거야.
Can you give me directions to the subway station?	지하철로 가는 길 좀 가르쳐 줄 수 있어?
Can you give me directions to the subway station?	지하철로 가는 길 좀 알려줄 수 있어?
Divide this line segment into twenty equal parts.	20등분으로 선을 나눠.
Do you remember how slow the Internet used to be?	한때 인터넷이 얼마나 느렸었는지 기억해?
I didn't think that we had any chance of winning.	우리가 이길 가능성이 조금이라도 있다고 생각하지 않아.
I want Tom to go to Australia to visit his uncle.	난 톰이 삼촌네에 방문하러 호주에 갔으면 좋겠어.
I've been trying to convince Tom to learn French.	나는 톰이 프랑스어를 배우도록 설득하던 중이었어.
It doesn't matter how old you get, you can learn.	나이에 상관 없이 배울 수 있어.
The fact that Tom didn't do that can't be denied.	톰이 그걸 안 했다는 사실은 부인할 수 없는 사실이야.
Tom came too early because of a misunderstanding.	톰은 오해 때문에 너무 일찍 왔어.
Tom hasn't yet learned how to write his own name.	톰은 자기 이름을 쓰는 법을 아직 안 배웠어.
Tom is lonely because he has no one to play with.	톰은 같이 놀 사람이 없어서 외로워하고 있어.
Tom spends most of his time sitting on the porch.	톰은 대부분의 시간을 현관에 앉는 걸로 보내고 있어.
You had bacon and eggs for breakfast, didn't you?	아침에 베이건이랑 달걀 먹었잖아, 그치?
Although I may be unhappy, I won't commit suicide.	내가 불행할지언정 자살은 안할 거야.
Are there any girls here that you haven't yet met?	네가 아직 만난 적 없는 여자애들도 여기 있어?
Are you saying that you don't know how to do this?	이걸 어떻게 하는지 모른다고 말하는 거야?
Didn't you know Tom was living with Mary's family?	톰이 메리 가족과 살고 있다는 것을 몰랐니?
Do you know how long Tom is going to be in Boston?	톰이 얼마나 보스턴에 있을지 알아?
Do you know the name of the girl who was with Tom?	너 톰이랑 같이 있었던 여자애 이름 알아?
I arrived at the bus stop just after the bus left.	난 막 버스가 떠난 후에야 버스 정류장에 도착했지 뭐야.
I didn't want to bother Tom while he was studying.	나는 톰이 공부하는 동안에는 귀찮게 하고 싶지 않았어.
I learned to play guitar when I was ten years old.	난 열 살 때 기타 치는 법을 배웠어.
It is true that she is pretty, but she is selfish.	그사람이 예쁘다는 것은 사실이지만 근데 좀 이기적이야.
It's difficult for me to express myself in French.	프랑스어로 자기소개를 하는 것은 내게 어려운 일이다.
That mountain is about three thousand meters high.	저 산은 높이가 약 3천 미터다.
This English book is too difficult for me to read.	이 영어 책은 내가 읽기엔 너무 어렵다.
Tom said he didn't learn anything at school today.	톰은 자기가 오늘 학교에서 아무것도 배우지 않았다고 했어.
Tom said he didn't want to go to the park with us.	톰은 우리랑 같이 공원에 가고 싶지 않대.
Tom washes his hands more than thirty times a day.	톰은 하루에 삼십 번 이상 손을 씻어.
Being too nervous to reply, he stared at the floor.	대답하기에 너무 긴장되어서, 그는 바닥을 응시했다.
Eating out is something that I don't do very often.	외식은 내가 그렇게 자주 하는 것이 아니다.
Have you ever been in a long distance relationship?	장거리 연애 해본 적 있어?
He left the office without saying a word to anyone.	그는 사람들에게 말 한 마디 없이 사무실을 떠났다.
I don't think doing that would be such a good idea.	그걸 하는 것은 그리 좋은 생각 같진 않은데.
I think that French is the most beautiful language.	프랑스어는 가장 아름다운 언어인 것 같아.
If you don't help Tom, he'll have trouble doing it.	네가 톰을 도와주지 않는다면 톰은 곤란에 처할 거야.
If you don't help Tom, he'll have trouble doing it.	네가 톰을 도와주지 않는다면 톰은 어려움을 겪을 거야.
It's a well-known fact that spiders aren't insects.	거미가 곤충이 아니라는 것은 잘 알려진 사실이야.
To be honest with you, I don't think I can do that.	솔칙히 말하면 나는 내가 할 수 있을거란 자신이 없어.
Tom is bigger than all the other boys in his class.	톰은 반에 있는 남자애들 중에서 가장 커.
Tom said he wanted to hire someone with experience.	톰은 경험이 있는 사람을 고용하고 싶다고 말했다.
Well, you obviously have romantic feelings for Tom.	흠, 너는 확실히 톰에게 연애감정을 가지고 있군.
Did you see Mary's reaction when she saw the spider?	너 마리가 거미 봤을 때의 반응을 봤어?
Do you really think you can convince Tom to do that?	너 정말 톰이 그걸 하도록 설득할 수 있다고 생각해?
I never thought Tom would come back to Boston again.	톰이 다시 보스턴으로 돌아올 줄은 생각지도 못했다.
I think it's dangerous to climb that mountain alone.	저 산에 혼자서 등반하는 건 위험한 것 같아.
I used to go swimming in the sea when I was a child.	내가 어릴 때는 바다에 수영하러 가곤 했었지.
I want to be able to play the violin as well as Tom.	톰처럼 바이올린을 연주할 수 있으면 좋겠어.
If he had enough time, he might have done good work.	시간이 충분했더라면 그가 일을 잘했을 텐데.
If it is worth doing at all, it is worth doing well.	할 가치가 있는 일이면, 제대로 하십시오.
Is there anything you want us to send you from home?	우리가 집에서 너에게 보내줬으면 하는 거 없니?
It's been three years since I began studying French.	내가 프랑스어 공부를 시작한지 삼 년이 됐어.
There are more than six billion people in the world.	지구상의 인구는 60억 이상이야.
Tom and Mary still live next door to John and Alice.	톰과 메리는 아직도 존과 앨리스의 옆집에 살아.
Tom and Mary still live next door to John and Alice.	톰과 메리는 아직도 존과 앨리스의 옆집에 살고 있어.
Tom was diagnosed with autism and severe depression.	톰은 자폐증과 심각한 우울증으로 진단받았어.
Tom was lonely and wished he had someone to talk to.	톰이 외로워서 누군가 말을 걸 사람이 있었으면 좋겠다고 기도했어.
We need to know what we're supposed to do on Monday.	우리는 월요일에 뭘 해야 하는지 알아야 해.
Working in such conditions was especially difficult.	저런 상태에서 일하는 것은 특히 어려운 일이었다.
A human body consists of a countless number of cells.	인간의 몸은 수많은 세포들로 구성되어 있어.
Could you please tell me again where you put the key?	키를 어디다 뒀는지 다시 얘기해 주시겠어요?
Do you have the most recent version of this software?	이 소프트웨어의 가장 최신 버전을 갖고 있어?
He breathed deeply before entering his boss's office.	그는 상사의 사무실로 들어가기 전에 심호흡을 했다.
I am not quite sure if we can meet your requirements.	우리가 당신의 요구를 충족시켜 드릴 수 있을지 모르겠네요.
I can assure you we'll never make that mistake again.	단언컨대, 우린 절대 그런 실수를 하지 않을 거야.
I don't have much money, but I can get along somehow.	나는 돈이 별로 없지만, 그럭저럭 지낼 수 있다
I find the food here to be a little too spicy for me.	여기 음식이 나한테 좀 많이 매운 것 같아.
I thought you said that you weren't afraid of ghosts.	나는 네가 유령을 두려워하지 않는다고 말한줄 알았어.
I won't force you to do that, but I think you should.	나는 네가 그렇게 하도록 강요하지는 않겠지만 그렇게 해야 할거야
